#,Title,JPja,USen
1,GameRomHorseSaddle_00_Desc,"ごく普通の くら
野生馬を馬協会で登録すると付けて貰える","An exceptionally average saddle. Given
to anyone who registers a wild horse
at a stable."
2,GameRomHorseSaddle_00_Name,馬宿協会のくら,Stable Saddle
3,GameRomHorseSaddle_01_Desc,"馬で旅をするのに適したスタンダードな くら
長旅にも耐えられる しっかりした作り
癖がなくて多くの旅人に愛用されている","A standard saddle designed for comfort
during long journeys. Its durable material
holds strong in all sorts of weather, which
has made it a favorite among travelers."
4,GameRomHorseSaddle_01_Name,旅人のくら,Traveler's Saddle
5,GameRomHorseSaddle_02_Desc,"ハイラル王家御用達の由緒正しい くら
輝く紋章の装飾が特徴的 
ゼルダ姫の愛馬にも使われていたと言われている","The shimmering emblem design of this saddle
signifies its origins with the Hyrulean royal
family. They say Princess Zelda herself once
used this saddle for her own beloved horse."
6,GameRomHorseSaddle_02_Name,王家のくら,Royal Saddle
7,GameRomHorseSaddle_03_Desc,"ハイラル城の騎士が使っていたと言われる くら
これを着ける事が許されていたのは
騎士の馬の中でも精鋭のみと言われている","Hyrulean knights favored this saddle.
Only the most elite among them were
allowed to outfit their mounts with it."
8,GameRomHorseSaddle_03_Name,騎士のくら,Knight's Saddle
9,GameRomHorseSaddle_04_Desc,"キルトンお手製の くら
魔物の馬をイメージして作ったらしい
変わった見た目だが ちゃんと使える","Kilton hand made this saddle. Apparently
he had some sort of monstrous horse in
mind as he worked on it. It looks strange
but is certainly usable."
10,GameRomHorseSaddle_04_Name,マモノのくら,Monster Saddle
11,GameRomHorseSaddle_05_Desc,"祭典などで使われる豪華に装飾された くら
丁寧な刺繍や あしらわれた宝石が印象的
目立ちたい人にオススメの品","This ornamental saddle is used in festivals.
The delicate embroidery and arrangement
of gems leaves a lasting impression. It's
perfect for those who want to stand out."
12,GameRomHorseSaddle_05_Name,ゴージャスなくら,Extravagant Saddle
13,GameRomHorseSaddle_10_Desc,"失われた古の技術で作られた不思議なくら
このくらを装備させてで呼ぶと どんなに遠く
離れた馬でも呼び出すことができる","A mysterious saddle made with forgotten
ancient technology. Equip a horse with this
and use to call them even when they
are far away."
14,GameRomHorseSaddle_10_Name,古代のくら,Ancient Saddle
