#,Title,JPja,USen
1,GameRomHorseReins_00_Desc,"ごく普通の手綱
野生馬を馬協会で登録すると付けて貰える","An exceptionally average bridle. Given
to anyone who registers a wild horse
at a stable."
2,GameRomHorseReins_00_Name,馬宿協会の手綱,Stable Bridle
3,GameRomHorseReins_01_Desc,"馬で旅をするのに適したスタンダードな手綱
特に目立つ意匠ではないが どんな馬にも合う
行商人や旅人が愛用するひと品","A standard bridle. The design doesn't
really stand out, which is why it's well
suited to any type of horse. A favorite
among peddlers and travelers alike."
4,GameRomHorseReins_01_Name,旅人の手綱,Traveler's Bridle
5,GameRomHorseReins_02_Desc,"ハイラル王家御用達の由緒正しい手綱
各所に付けられた金の装飾が印象的だが 
作りもとてもしっかりしている","This bridle is well known for being a favorite
of the Hyrulean royal family. Its gold
ornamentations leave an impression, but
its true value lies in its solid craftsmanship."
6,GameRomHorseReins_02_Name,王家の手綱,Royal Bridle
7,GameRomHorseReins_03_Desc,"ハイラル城の騎士が使っていたと言われる手綱
馬の頭部から首を守る装甲も含まれており
騎士はこの手入れを欠かさなかったと言われる","Hyrulean knights once outfitted their horses
with this bridle. It boasts additional armor to
protect the horse's head and neck."
8,GameRomHorseReins_03_Name,騎士の手綱,Knight's Bridle
9,GameRomHorseReins_04_Desc,"キルトンお手製の手綱
魔物の馬をイメージして作ったらしい
頭部をすっぽりと覆うフード付き","This bridle was handmade by Kilton, but it
looks like he may have had some monstrous
horse in mind when he made it. It includes a
mask that conceals the horse's head."
10,GameRomHorseReins_04_Name,マモノの手綱,Monster Bridle
11,GameRomHorseReins_05_Desc,"祭典などで使われる豪華に装飾された手綱
頭の羽飾りがチャーミング 
タテガミもカラフルにして装備したい逸品","Most often used in festivals, this gem of a
bridle is decorated with some charming
little feathers. It's great for adding just a
splash of color to any horse."
12,GameRomHorseReins_05_Name,ゴージャスな手綱,Extravagant Bridle
13,GameRomHorseReins_10_Desc,"失われた古の技術で作られた不思議な手綱
この手綱を装備すると馬の能力を最大限に
引き出し襲歩の回数を増やすことができる","A mysterious bridle made with forgotten
ancient technology. Equipping a horse with
this will maximize their abilities, increasing
the number of spurs associated with them."
14,GameRomHorseReins_10_Name,古代の手綱,Ancient Bridle
