#,Title,JPja,USen
1,"""0000""",Sacred Ground Ruins,Sacred Ground Ruins
2,"""0001""",Lake Kolomo,Lake Kolomo
3,"""0002""",Ancient Columns,Ancient Columns
4,"""0003""",Kara Kara Bazaar,Kara Kara Bazaar
5,"""0004""",Eldin Canyon,Eldin Canyon
6,"""0005""",Irch Plain,Irch Plain
7,"""0006""",Sanidin Park Ruins,Sanidin Park Ruins
8,"""0007""",West Necluda,West Necluda
9,"""0008""",Hyrule Castle,Hyrule Castle
10,"""0009""",Spring of Power,Spring of Power
11,"""0010""",Lanayru Road - East Gate,Lanayru Road - East Gate
12,"""0011""",Hyrule Field,Hyrule Field
13,"""0012""","シーカーストーンのデータが欠損しています
現在は使用する事ができません","The Sheikah Slate data has
been damaged."
