#,Title,JPja,USen
1,"""0000""",自分のため,Myself.
2,"""0001""",（未来の）恋人のため,For someone special.
3,"""0002""",どうしたの？,What's the matter?
4,"""0003""",さようなら,Bye.
5,"""0004""",使います,"Yes, please."
6,"""0005""",どうぞどうぞ,"No, it's all yours."
7,Npc_HighMountain036_001,"お願いよ キール
危ないことをして心配させないで","Kheel, why must you always insist on
worrying your poor mother?"
8,Npc_HighMountain036_002,"神獣 ヴァ・メドーがいる間は危ないから
村から出てはいけません！","You can't leave the village while
Divine Beast Vah Medoh is up there.
It is too dangerous!"
9,Npc_HighMountain036_002_2,"あらっ… ごめんなさいね！
旅人さんに言ったわけじゃ ないのよ","My apologies if that sounded like it was
intended for you!"
10,Npc_HighMountain036_003,"末娘のキールが兄弟岩へ行きたいって
毎日ダダをこねて困ってるんです…
うちの娘たち 5人姉妹なんですけど

あの神獣が現れてから
元気がなくなったり ワガママになったり…
こんな時 あの人がいてくれたら…

ううん大切な務めですもの…
私こそ ワガママを言ってはいけないわね","My youngest daughter, Kheel, wants to
go to Warbler's Nest. She won't stop
talking about it.
I have five daughters, and ever since that
beast appeared, they have been getting
needier by the minute.
At times like this, I wish he was around...


I wish I could be a kid again and think
only of myself.

But that is the thing about being a
parent—you have to be bigger than your
children."
11,Npc_HighMountain036_004,"はい さようなら
気を付けてね","Well, farewell. Take care of yourself."
12,Npc_HighMountain036_011,"あらあら娘が走り回って…
旅の人のご迷惑になってしまいますね","Oh, my daughter is running around
wreaking havoc. I hope she is not
bothering you too much, Mr. Traveler..."
13,Npc_HighMountain036_021,"旅の人… あなたは
誰のために お料理するの？",Traveler...who do you usually cook for?
14,Npc_HighMountain036_022,"サーモン… バター…小麦…

お料理してると神獣のことじゃなくて
食べてくれる娘たちのことだけ考えられます…
旅の人 あなたも楽しくお料理してね","Salmon... Butter... Wheat...


Cooking it helps take my mind off of the
Divine Beast. I think instead of my lovely
family. 
I hope you have someone out there who
cooks for you, traveler."
15,Npc_HighMountain036_023,"急に変なこと聞いて ごめんなさい

夜になると この村が…娘たちが
これからどうなるのか考えてしまって…
きっと お腹がすいているからね

さあ お鍋を使って お料理して
お腹いっぱいにしましょ","I hope that wasn't too personal a
question.

When I cook dinner for my daughters, I
sometimes wonder what the future holds
for this village...for my family.
My thoughts tend to grow a bit dark
then, but they lighten as soon as I
satisfy my hunger.
So go ahead and use the pot.
A full stomach will do you well."
16,Npc_HighMountain036_024,"そう… そうね！
大切な人のために お料理するのよね
私も娘たちのために
楽しくお料理するわ
あなたも このお鍋を使って
恋人さんのために お料理を作ってあげてね","There is no better feeling than cooking
a good meal for someone who means a
lot to you.
Cooking a healthy meal for my daughters
is one of my life's greatest joys.

Perhaps you should use this pot to cook
a nice meal for your sweetheart."
17,Npc_HighMountain036_101,"娘たちがカーン様に 
大事件を報告したって言ってたけど…
兄弟岩で一体何があったのかしら？","My daughters said they told Mister
Kaneli about the big incident.

But I'm still not entirely sure what
exactly happened up at Warbler's Nest."
18,Npc_HighMountain036_102,"居場所がわかったから一安心よ
どうもありがとう
キールの姉たちなら
サーモンムニエルの材料を集めているわ
ゲンコがサーモンムニエルを
食べないと歌の練習はしないなんて言うから
手分けして買い出しをしてるんです
あの子たち上手くやってるかしら…？","It sets my mind at ease to know where
my children are. Thank you.

Kheel's sisters are gathering the
ingredients necessary to make
salmon meunière.
Apparently Genli won't sing with the
rest of them until she eats some
salmon meunière.
So they are all out gathering the
ingredients. I hope they are staying safe."
19,Npc_HighMountain036_103,"キールの姉たちなら
サーモンムニエルの材料を集めているわ
あの子たち上手くやってるかしら…？","Kheel's sisters are out looking for
salmon meunière ingredients.
I hope they are staying safe."
20,Npc_HighMountain036_212,"あらあら リンクさん
今日も娘たちが走り回っててごめんなさいね","Oh, Link. I hope my daughters are not
causing you too much grief today."
21,Npc_HighMountain036_223,"こんばんは リンクさん
あら お鍋使います？","Good evening, Link. Would you like to
use our cooking pot?"
22,Npc_HighMountain036_224,"…うまくなった娘達の歌を
早く あの人にも聞かせてあげたいわ…
ああ ごめんなさい リンクさん
独り言よ…","He will not believe how much his
daughters have improved their singing...

Oh, sorry, Link. I was just talking to
myself..."
23,Npc_HighMountain036_225,どうぞ使ってくださいな,Be my guest.
24,Npc_HighMountain036_226,"ありがとう助かるわ

娘達が歌の練習をやり始めてから
すぐ おなかペコペコになってしまうみたいなの
今のうちに仕込んでおかないと
明日 おなかすいたの歌を合唱されてしまうのよ","Thank you. This is a help.


When my daughters practice their
singing, they always come home hungry.

If I don't stuff them with food, they start
singing this song about how hungry they
are...in harmony."
25,Npc_HighMountain036_300,"リンクさん ありがとう！

あなたのおかげで あの人が…
主人が帰ってきました！","Thank you, Link!


You have brought my husband back to
us! I really cannot thank you enough."
26,Npc_HighMountain036_301,"主人は娘達といっしょに
いつもの場所で歌っているわ
行けば音楽で すぐわかりますから
会いに行ってくださいな","He is singing with his daughters at the
usual place. 

I am sure they could use an audience if
you have some time to spare."
27,Npc_HighMountain036_302,"主人は いつも娘達が歌を練習している場所で
音楽を奏でていますわ
行けば すぐわかりますから
会いに行ってくださいな","My husband is out playing music at the
place where my daughters usually
practice their singing. 
You should stop by if you have the time."
28,Npc_HighMountain036_Near_Rain,ジメジメするわ…,This rain...
