#,Title,JPja,USen
1,"""0000""",お願いします,"Yes, please."
2,"""0001""",けっこうです,"No, thank you."
3,"""0002""",はい,Yes.
4,"""0003""",いいえ,No.
5,"""0004""",他のをお願い,Let me check...
6,"""0005""",やめます,Never mind.
7,"""0006""",あれ？,Some...thing?
8,"""0010""",持ってます！,I have one now!
9,"""0011""",ゲンキンですね,That's some request...
10,"""0012""",わかりました！,That's fair. I have one.
11,"""0013""",やめておきます,Never mind.
12,talk_00,"ふほぉぉ…長らく狭いつぼみの中に
入っており窮屈であったぞ…
おぬしか…？
ワシを外に出してくれたのは…","Ho ho ho... At last! Free of that tiny
bud after so long! If my arms were
corporeal, they'd have cramped for sure!
And you're the one who set me free, are
you not?"
13,talk_00_01,"ほぉ またおぬしか… 

馬の神であるワシに用があるとすれば
嫌な予感しかせぬが… どれどれ…","It's you again... 


Why have you sought me out? Surely
no ill has befallen your beloved, faithful
steeds... Let me see..."
14,talk_00_1,"わが名はマーロン
この世界に住まう馬たちの神である
ワシを復活させてくれた
お礼をせねばならんな…
どうしてくれようか…","My name is Malanya. 
I am the god who watches over the
horses of this world. 
I suppose you deserve a reward for
setting me free... What shall I do..."
15,talk_00_2,おまえを食べてしまおうか？,Shall I make you my meal?!
16,talk_00_3,"ハッハ冗談である

もし おぬしが大事にしていた馬を
不注意にも死なせてしまったなら
その死んだ馬を復活させてあげるとしよう…

ただし…""面白がって
殺めていた時は……","Hahaha, I only jest...


If a horse you love passes away from
some sort of tragic, fatal accident, it is
within my power to revive that horse...
However... If I detect vile intent behind
the death of your horse..."
17,talk_00_4,容赦せんからなぁ！,You will suffer my wrath!
18,talk_00_5,"冗談である…

どれどれ？","I only jest...
Let me see..."
19,talk_01,"……

…ほぉ馬を大事に扱っているようだ
どの馬も元気そうであるな
馬はトモダチという その心構え
見事である
これからも馬と共に生きるのだぞ","...Hrm! I see you're good with horses.
All seems to be well.

The friendship you established with
a horse really is extraordinary.

Remember that such a friendship is
a two-way road. Horses care for you
as much as you do for them."
20,talk_02,"……

…ほぉおぬしは馬を一頭も
所有していないようだな
馬と共に生きるという選択をしないとは…
だが それも おぬしの自由ではあるな…
馬を所有し""愛馬を失ったとき
また ワシの前に現れるがよい","...Whoa. Do you really not own a single
horse?

I can't imagine going through the world
without a faithful steed to keep me
company... To each their own, I suppose.
In that case, I, the god of horses, can
not do much for you who avoids horses
for some reason.
If you ever do bond with a horse and
then tragedy strikes that proud friend,
you should come see me."
21,talk_02_00,"…

ヌヌ～馬を死なせてしまっているではないか！","...Neigh! A horse, loyal and true, has
fallen during your adventures!"
22,talk_02_01,この場で亡き者にしてやろうか？！,"I could end you, right here
and now!"
23,talk_02_02,"冗談である…
それで馬をよみがえらせたいのか？","I jest, of course...
Shall I bring a companion back to
travel with you once more?"
24,talk_03_00,"そう…馬が死んでしまっても
何もお前の心に響かないというわけか…","I see. Well, if you ever feel something
in your soul that resembles equine
heartbreak...you know where to find me."
25,talk_03_01,許さんぞ！貴様！,To feel so...is unforgivable!
26,talk_03_02,"冗談である…
もし心変わりしたら また来るがよい","I jest... Feel free to return to me
whenever you'd like."
