#,Title,JPja,USen
1,Atacked00,魔物さえいなければ のどかな旅なのに…,"If only these monsters didn't exist, I
could just take a nice, peaceful trip..."
2,Atacked01,魔物…まだいるみたい？,"The monsters... Looks like there's
still some left."
3,Failed00,"足をひねったかな…
大丈夫だと思うけど","I might have twisted my ankle a little...
But I think I'm OK, overall."
4,Failed01,"ちょっとだけ痛いかも…
歩けないほどじゃないけど","I'm in a little bit of pain... But I can still
walk, for sure."
5,Guardian00,"早く逃げて！
ガーディアンが近づいてきてるから！","Run, quickly! A Guardian is coming
this way!"
6,MSG_Firo_00,"私は龍の伝説を辿る旅をしています
旅人同士…情報交換します？
この辺りは魔物が多い危険地帯…
襲われる前に さっさと通り過ぎるのが賢明かも","I'm on a journey, pursuing the legends
I've heard about dragons. If you're a
traveler like me...
Well, you should know that this region is
full of monsters and is quite dangerous.
It would be wise to pass through quickly."
7,MSG_Firo_00_1,"この辺りは魔物が多い危険地帯…
襲われる前に さっさと通り過ぎるのが賢明かも","This area is a dangerous region full of
monsters... It may be prudent to pass
through quickly before you're attacked."
8,MSG_Firo_01,"…え？私？
名前はタツノ龍に魅せられた旅人です
フィローネの森で迷った旅人が
龍の形の川を見たっていう話が気になってて…","What? Me? My name is Totsuna. I'm a
huge fan of pretty much anything and
everything related to dragons!
A traveler who got lost in Faron Woods
said he saw a dragon-shaped river,
which made me really curious..."
9,MSG_Firo_01_1,"フィローネの森で迷った旅人が
龍の形の川を見たっていう話が気になってて…","A traveler who got lost in Faron Woods
said he saw a river shaped like a dragon.
Such a thing piqued my curiosity..."
10,MSG_Firo_02,"変わり者だって思われそうですけど
私はできれば龍のことだけ考えていたい…
ハイリア湖のほとりで空を見上げると
雲が龍の形に見える時があるんです！","You might find this a bit strange, but if I
could only ever think about dragons,
I absolutely would...
You know, if you stand on the shore of
Lake Hylia and look at the sky, you can
sometimes see dragon-shaped clouds!"
11,MSG_Firo_02_1,"ハイリア湖のほとりで空を見上げると
雲が龍の形に見える時があるんです！","If you stand on the shore of Lake Hylia
and gaze up at the sky, sometimes the
clouds look just like dragons!"
