#,Title,JPja,USen
1,"""0000""",まかせて！,Leave it to me!
2,"""0001""",無理だと思う…,Not worth my time.
3,Near00,真っ白な…馬…,Pure white...horse...
4,Near01,昔…昔…,Long...ago...
5,Near02,ゼルダ姫様の白馬…,Princess Zelda's horse...
6,talk00,"サルファの丘で王家の白馬を見た という話を
昔 わしのおじいちゃんから聞いたんじゃが…","A long time back, my grandfather told me
that he once saw the royal family's
white horse grazing on Safula Hill..."
7,talk01,おぉ… そなた その白馬は…！,"Oh! You—
That white horse!"
8,talk02,"少し前 ここに来た客の話によると最近も
サルファの丘で白馬を見かけたそうなんじゃ…
ひょっとしたら おじいちゃんの言っておった
王家の白馬の子孫かもしれんのぅ
そなた旅の途中で もし白馬を見つけたら
わしの所まで連れてきてもらえんじゃろか？","The thing is...just the other day, one of
our customers said he saw a white horse
on Safula Hill recently...
Could it be a relative of the royal family's
white horse from my grandfather's day?

Well, if you happen to see a white horse
on your travels, do you think you could
bring it back to me?"
9,talk03,"ありがとう…""白馬を見つけたら所有馬にして
わしの所に連れてきて欲しいのじゃ…
サルファの丘にいるという白馬は
毛並みにムラが無い美しい真っ白な馬で…
いつも他の馬の群れとは
少し離れた所にいたそうじゃ
では頼みましたぞ","Thank you! If you see the white horse,
please register it at a stable and bring
it to me.
The white horse on Safula Hill
supposedly has a beautiful, pure-white
coat without any mottling.
I hear it's very elusive, though.
Good luck."
10,talk04,"旅のお方… そなたは白馬を
見たことは ありますかな？","A traveler... Tell me, have you seen a
pure-white horse anywhere?"
11,talk05,"おぉ そなた やっぱり
引き受けてくれる気に なったのかの？","Oh, did you decide to take on my request
after all?"
12,talk09,"無理を言ってすまなかった…
気が変わったらまた話しかけておくれ…","I understand. It's likely a wild-goose
chase anyway..."
13,talk10,"サルファの丘にいるという白馬は
毛並みにムラが無い美しい真っ白な馬で…
いつも他の馬の群れとは
少し離れた所にいた という話じゃ
白馬を見つけ所有馬にしたら わしの所まで
連れてきてくだされ…""頼みましたぞ","The white horse on Safula Hill
supposedly has a beautiful pure-white
coat without any mottling...
They say it roams by itself, apart
from other groups of horses.

If you end up finding it and registering it
at a stable, I'd really love to see it.
Thanks."
14,talk12,"なんと！""白馬を連れてきてくれたのか！
本当におったんじゃな…
いやぁ長生きはするもんじゃ…
ありがとうのぅ
では わしが おじいちゃんから譲り受けた
王家に伝わるくらと手綱を そなたに授けよう！","What? You brought the royal family's
white horse? Well I'll be...
Grandpa wasn't lying!
Son, you just made my life. Staying alive
in this godforsaken land may just have
been worth it after all.
I've got a surprise for you. My grandpa
handed this down to me, and now I'm
handing it down to you.
I present to you...the royal family's
saddle and bridle! Custom fitted for
the white royal horse!"
15,talk13,"なんと！""白馬を捕まえてきてくれたのか！
所有馬にして わしの所に連れてきておくれ！","What?! You found the white horse?
Well register it and bring it here! "
16,talk16,"幼い頃 おじいちゃんから聞かされた
あのゼルダ姫様が乗っていたという白馬…
白馬を華麗に乗りこなす姫様の姿は
この世のものとは思えぬ美しさだったそうな…
この白馬は きっとその子孫に違いないて…
綺麗じゃのぉ…""美しいのぉ…","The white horse that Princess Zelda
rode. The one my grandfather told me
about when I was little...
The sight of the princess riding atop the
white horse was supposed to be a beauty
beyond words...
There's no doubt about it, this horse is
the grandchild of that horse of long ago.
So beautiful... So pure..."
17,talk17,"ここの馬宿の受付でも所有馬に出来るぞ…！
わしとの話は白馬を所有馬にしてからじゃ！","You can register your horse here at the
stable's reception desk! Talk to me again
after you've registered your white horse!"
18,talk19,"わしのおじいちゃんの話は本当だったのか…
夢にまで見てきた白馬が目の前におる！","My grandpa's stories were true?
The white horse I dreamed of is right
before my eyes!"
19,talk20,"そなたに授けたいものがある！
ハイラル王家に伝わる くらと手綱じゃ！
王家のくらと手綱は
この白馬にこそ ふさわしい！","There's something I'd like to present you
with! These are the royal family's saddle
and bridle!
The royal saddle and bridle are custom
fit for this white horse!"
20,talk22,"おぉ… そなた その白馬は…！ここの馬宿の受付で そいつを所有馬に出来る
その白馬を所有馬にして連れてきておくれ！","Oh! You—
That white horse!

You can register that beauty at  this
stable's reception desk. Go register the
white horse and then come right back!"
