#,Title,JPja,USen
1,"""0000""",はい,Yes.
2,"""0001""",そんな事無い,Not at all.
3,"""0002""",あなたは？,Who are you?
4,"""0004""",ロベリーって？,About Robbie...
5,"""0005""",さようなら,Gotta go!
6,"""0006""",旦那？！,You're married?
7,"""0007""",息子って？,Your son...
8,"""0008""",見た！,I saw him!
9,"""0009""",見てない,I haven't seen him.
10,near00,フフン♪,♪Hm...hmm...♪
11,talk00,"ハ～イ！""私ハ ジェリン デース♪",Heya! ♪I'm Jerrin!♪
12,talk01,"…

……

ハテノ古代研究所の所長の
真似してみたんデスケド…
初対面にしては飛ばしすぎってな感じデスカ？","...How was that? I figured I'd give an
impression of Hateno Ancient Tech Lab's
director, Purah, a shot.
Maybe it was a bit much for the first time
meeting you, though?"
13,talk02,リンクさん ドンマイ！気にしないデ！,"Link, don't worry about it! It's all OK!"
14,talk03,"なかなかのリンクさん
フレンドリーで よかった！","Aww, Link, I'm really glad you're such
a friendly guy!"
15,talk04,"で""如何用デスカ？",So what do you need from me?
16,talk05,"そして ロベリーと私は
半世紀以上離れた年の差婚…
ぶっちゃけ旦那サン デスヨネ","Oh, Robbie... We're a half-century 
apart, agewise, but we never let that get
in the way. He and I are married!"
17,talk06,ア～～ンド…,Aaaaand...
18,talk07,"ロベリーは古代研究者の一人デス

100年前はハイラル城で
ガーディアンの研究を されてたそうデス","Robbie is one of the researchers of
ancient civilizations.

He was studying Guardians at
Hyrule Castle 100 years ago."
19,talk08,他に聞きたいのデスカ？,Have you got any other questions?
20,talk09,マイドー,See you later!
21,talk10,"ハーイお間違い無く！

つまりは夫婦でアッカレ古代研究所を
切り盛りしてるとこデス
こう見えて息子も居るんですヨ？","Yes, indeed! Together, we run the
Akkala Ancient Tech Lab. I've got a son,
as well!"
22,talk11,"私達には一人息子が居マスよ？
名前は グラネット言います
道中見マシタ？","That's right, I've got one son. His name
is Granté.

Have you seen him in your travels?"
23,talk12,"ロベリーはガーディアン研究の第一人者にして
私の旦那デス
かつては プルア所長と共にハイラル城で
研究してたらしいデスよ","Robbie is a premier researcher of
Guardians, and he's also my husband.

He was engaged in research with
Director Purah at Hyrule Castle, but that
was 100 years ago."
24,talk13,さっき 「見た」って言ったデスけど…,"You said, \""I saw him,\"" earlier, though..."
25,talk14,さっき 「見てない」って言ったデスけど…,"You said, \""I haven't seen him,\"" earlier, though..."
26,talk15,チェッキー！,Check it out!
27,talk18,ハーイ！私デス！,Heya! It's me!
28,talk19,お元気デスネ！,You look good!
29,talk20,"私かて古代研究者の端くれ…

ぶっちゃけ私は
祠の研究を していマスヨ
…そうダ！
リンクさんあそこ行ってみてクダサイ
言うなれバドクロ池の左目デス","I'm an amateur scholar of ancient history.
To be honest...I've been focusing a lot of
my research on shrines.
...Oh, that reminds me! Link, there's
somewhere you need to go. Umm...
The left eye of Skull Lake!"
30,talk21,まだ寝ないデスダイジョブ,"I'm not going to sleep yet.
I'm powering through."
