#,Title,JPja,USen
1,"""0000""",運命を感じました！,You're my dream girl!
2,"""0001""",ごめんなさい,Just a guy takin' a walk.
3,Atacked00,"ひぃぃ…
お願いだから あっち行ってよ…",Hey! Personal space!
4,Atacked01,"これだから街の外にはあんまり
出たくないのよ…",This is why I hate leaving town...
5,Failed00,"いったた…""運命のヴォーイって
こういう時に助けに来てくれるもんじゃないの？","Urgh... I think my hourglass is running
out. I had so much left to do..."
6,Failed01,"ううっ…運命のヴォーイ探しも
簡単じゃないわね",Urgh... Looks like this is the end...
7,MSG_Gerud_00,"やっぱり街が一番落ち着くわ～

ヴォーイがいる外の世界は
どうしても緊張しちゃうのよね","I hate wandering the wastelands.
Give me the bustling streets of
Gerudo Town any day.
But the outside world is where the
adventure is, so this is where I have
to be, too."
8,MSG_Gerud_00_1,"いずれは ヴォーイと緊張せず
触れ合えるものなのかな…","I hope to someday be able to talk to voe
without a stomach full of butterflies."
9,MSG_Gerud_01,"ドロップやムエリータの顔が見えると
ゲルドの街に帰ってきたんだなって思うんだ
2人とも ヴォーイに厳しいし
見た目もああだから恐そうに思われがちだけど
すっごく いい子達なのよね","Dorrah and Merina are always a sight for
sore eyes. When I catch a glimpse of
them, I know I've made it back home.
They're pretty tough on voe, and you
wouldn't want to get on their bad side,
but they're nice vai deep down."
10,MSG_Gerud_01_1,"ちょっと街を離れてただけなのに
ドロップやムエリータ達の顔が見えると
すごくホッとするのよね","I haven't been out in these sands long,
but it's still such a relief to see the face
of my fellow vai whenever I come home."
11,MSG_Gerud_02,"砂漠は歩きにくいし
本当はスナザラシを使いたいところなんだけど
私乗れないのよね…

スナザラシに乗った運命のヴォーイでも
通りかかってくれないかなぁ","The desert sands are hard on my feet.
I'd love to use a sand seal, but...I never actually learned the trick to
sand-seal surfing.Maybe one day I'll meet someone who
really knows how to do it. Then I can
catch a ride and travel with ease!"
12,MSG_Gerud_02_1,"砂漠は歩きにくいし
スナザラシに乗った王子様でも来てくれないかな","The desert sands are hard on my feet.
Maybe one day someone who can
sand-seal surf will carry me about..."
13,MSG_Gerud_03,"カラカラバザールって
ゲルド人にとっては
ちょっとしたリゾート地なのよね

私ね ハネムーンは カラカラバザールって
決めてるんだ
そのためにも早く運命のヴォーイを
見つけないとね","Kara Kara Bazaar is a sort of resort for
we Gerudo. I love to come here and
relax... It's perfect for a vacation, really."
14,MSG_Gerud_03_1,"ハネムーンは カラカラバザールって
決めてるんだけど
そのためにも早く運命のヴォーイを
見つけないとね","Kara Kara Bazaar is the best vacation
spot in all of the desert. I could stay
here and relax for days..."
15,MSG_Gerud_04,"お肉も ヒンヤリメロンも
カラカラバザールで食べると
いつもより美味しく感じるのよね

とりあえず今はヴォーイハントは休憩して
腹ごしらえするんだ
メロンとお肉…どっちにしようかな？

どっちも食べちゃえばいいのか","Meat and hydromelons just taste
better when you're lounging at the
Kara Kara Bazaar. Everyone knows that.
Which should I go for? Melon or meat?What am I saying? Both, obviously!"
16,MSG_Gerud_04_1,"とりあえず今はヴォーイハントは休憩して
腹ごしらえかな","I'm on a snack break right now.
Food just tastes better when you're
lounging at the Kara Kara Bazaar."
17,MSG_Gerud_05,"アンタ…
まさかだと思うけど
私に紛れて
ゲルドの街に入って来ようとしてない？
でもそんなことしても無駄だし
下手なことしてたら
門番のドロップとムエリータに
酷い目にあわされるわよ","You're...not trying to sneak into
Gerudo Town in my shadow, are you?It won't work. And if Dorrah and Merina
at the gates catch you, you'll wish you
hadn't even thought of trying."
18,MSG_Gerud_05_1,"アンタ…

私に紛れて
ゲルドの街に入って来ようとしてない？","You're...not actually trying to sneak into
Gerudo Town in my shadow, are you?"
19,MSG_Gerud_06,"アナタ こんな所に
1人でいて大丈夫？
ナボリスも暴れてるし
今この辺りは かなり危ないわよ
お互い早く守ってくれる
ヴォーイを見つけないとね","Are you sure you want to be here? It's
not safe with Naboris roaming around.I'd rather be anywhere else, personally.
I do love the desert, but Naboris makes
it tough..."
20,MSG_Gerud_06_1,"ナボリスも暴れてるし
今この辺りは かなり危ないわよ
お互い早く守ってくれる
ヴォーイを見つけないとね","I wish I was anywhere else but out here
with Naboris roaming around. I feel like
I could be zapped at any moment."
21,Near00,ちょっと眠いなぁ…,I'm bushed...
22,Near01,日焼けしちゃうなぁ…,I'm baking in this sun...
23,Near02,運命のヴォーイかぁ…,"Oh, to live my dreams..."
24,Rest_00,"ふぅ…運命のヴォーイ探しって
思ったより大変だわ…","Phew... Traveling the world outside of
home is harder than I expected."
25,RetMSG_Gerud_00,"時々思うんだぁ

この街の掟がなくなって ヴォーイがこの街に
自由に出入りできるようになったら
ヴォーイハントで旅に出なくても
良くなるのにな… って
でも外の世界を知るきっかけにもなるから
この掟を喜んでいる子も少なくないけどね","It occurs to me sometimes...If we got rid of the law keeping voe out
of Gerudo Town, they could come to
town with tales of their adventures...
Then again, the younger vai like the
law. It gives them an excuse to get out
and see the world, you know?"
