#,Title,JPja,USen
1,"""0000""",魂と会った,I met her spirit.
2,"""0002""",絶対に忘れない,I'll never forget her.
3,"""0003""",いつも一緒だ,We are united now.
4,talk00,"リンク！""里を救ってくれたこと
心より感謝するゾヨ！
里の皆も喜んでおる！
これほど嬉しいことはないのだ！","Link! I am truly and eternally grateful
to you for saving Zora's Domain!

Everyone is rejoicing. There is no
happier place in the world!"
5,talk01,"ただ リンク…
ソナタに聞きたい事が あるゾヨ
水の神獣ヴァ・ルッタの中から
ソナタは生還した
じゃが ミファーは
戻ってこなかった…
これはやはりあれか…
もう手遅れだったということか？","But Link... There is something I wish
to ask you.

You journeyed within Ruta, the Divine
Beast of Water...

Now you are back, but Mipha has still
yet to return...

Is it as I feared? Were we too late?"
6,talk02,"た魂と…

それで ミファーは…
ミファーは何か言っておったゾヨか？","Her spirit?!


So that means Mipha really is...
Did...did she say anything to you?"
7,talk04,"そうか… ミファー…
なんということ…
ワシは何もしてやることができなかったゾヨ…

じゃが…
ミファーは英傑の使命を果たしたのだ
それなら…それを見守ってやるのも
父親の務めだったと思うべきか…
…

リンク…
あれはソナタのことが大好きだった
今もきっと ソナタの助けができて
喜んでおるに違いないゾヨ
どうかソナタも
ミファーのことを忘れないでやってほしい","I see. My dear Mipha... I simply cannot
believe it. There was nothing I could do
to save her...
Still... Mipha fulfilled her heroic duty
as Champion.

And she will never be alone...
It is my duty as her father to
watch over her, even now.
...


Link...
She really loved you, you know.

There is no mistaking that even now she
is overjoyed to be able to help you.

Promise me...that you will always
remember her. Promise me that."
8,talk05,"む！ ありがたい言葉…！
ソナタはいい男ゾヨ！","I appreciate you saying that.
You are a good man."
9,talk06,"む！ そう言ってもらえるとは！
本当にありがたいゾヨ！","Thank you for saying so.
I truly appreciate it."
10,talk07,"リンク何かに困ったら
いつでも この里に来るがよい
どんな時でも一族全員で歓迎するゾヨ！

ありがとう リンク…
ありがとう","If you ever run into trouble, know that
you are always welcome here.

No matter the time, we shall all greet
you with open fins!

Link... Thank you. Thank you from the
bottom of my heart."
11,talk08,"ありがとう リンク
ソナタには救われたゾヨ
ミファーはきっと ソナタと一緒にいられて
喜んでおるに違いない…
ワシは ソナタとミファーの力を合わせた戦いを
ここから見守っておるゾヨ！","Thank you, Link. You have saved us all.


I am certain that Mipha is thrilled to be
with you, as she ever was.

I shall watch over Mipha's fight
from here, and yours as well."
