#,Title,JPja,USen
1,Npc_oasis013_001,"…ヴァーサーク…
…たっくさん …買って …ね","Vasaaq.
Buy a lot...OK?"
2,Npc_oasis013_002,"オネーちゃん
た～っくさん買っていってね！
カーラのおススメはね…バクダン矢だよ！
刺さるとね
どーん！！！

なんだから！","Hey, lady! Be sure to buy a LOT of stuff,
OK?

I really recommend...bomb arrows!
If you shoot them at something...

BOOOOOM!!!


It's amazing!"
3,Npc_oasis013_004,"サヴァサーバ…

今日も忙しかったし
そろそろ眠らないと…","Sav'saaba.
Today was another busy day, so I think
I'll go to bed soon."
4,Npc_oasis013_006,ティクルの畑どうなったかな…,"I wonder how Dalia's crops are
doing..."
5,Npc_oasis013_008,"オネーちゃん
た～っくさん買っていってね！
カーラのおススメはね…電気の矢だよ！
刺さるとね
ビリビリーッ！！！

なんだよ！","Hey, lady! Be sure to buy a LOT of stuff,
OK?

I really recommend...shock arrows!
If you shoot them at something...

BZZBZZT!!!


They zap!"
6,Npc_oasis013_009,"オネーちゃん
た～っくさん買っていってね！
カーラのおススメはね…炎の矢だよ！
刺さるとね
アッチチー！！！

なんだよ！","Hey, lady! Be sure to buy a LOT of stuff,
OK?

I really recommend...fire arrows!
If you shoot them at something...

BOOSH!!!


Flames everywhere!"
7,Npc_oasis013_010,"オネーちゃん
た～っくさん買っていってね！
カーラのおススメはね…氷の矢だよ！
刺さるとね
カッチカチ！！！

なんだから！","Hey, lady! Be sure to buy a LOT of stuff,
OK?

I really recommend...ice arrows!
If you shoot them at something...

CRAAAAACK!!!


Frozen solid!"
8,Npc_oasis013_011,ティクルの畑の事聞いた？,Have you heard about Dalia's crops?
9,Npc_oasis013_012,"ティクル…
ずっと泣いてる…",Dalia... She won't stop crying...
10,Npc_oasis013_013,みんなまだかな…,Where is everyone?
11,Npc_oasis013_014,"マキュアね
フルーツたくさん食べたい！",I wanna eat a lot of fruit!
12,Npc_oasis013_015,今度みんなでお手伝いに行こーよ！,Let's go help everyone next time!
13,Npc_oasis013_016,"誰があんなことを…
パール許さないんだから！","Who would do something like that?
I'll never forgive you!"
14,Npc_oasis013_017,"ねぇねぇ みんな
レンアイしてる？","Hey, you guys! Are you in love?"
15,Npc_oasis013_018,"マキュアね おっきくなったらするよー

 ワーシャ先生のとこで
レンアイとかケッコンとかするの！","When I'm all growed up, I will be!
I'll go to Miss Ashai's class, and I'll
become in love and I'll get married!"
16,Npc_oasis013_019,"でもワーシャ先生はミコンなんだって！
ママが言ってたよ！
でもミコンってなんだろ…","Mom says it's really strange that Miss
Ashai is unmarried but teaches her class
on voe.
I wonder what unmarried means..."
17,Npc_oasis013_020,"レンアイとかケッコンとかよくわかんないけど
フルーツより甘いって聞いたよ？
イチゴより甘いのかな～
ティクル楽しみだな～","I heard that being in love and being
married is the sweetest thing in the
world!
But I really like berries, and those
are really sweet. I don't know if I can
handle something sweeter than that!"
18,Npc_oasis013_021,おっきな ヴァードさんだなぁ…,"Whoa...
That's a really big vure..."
19,Npc_oasis013_022,"オネーちゃん いい人なんでしょ？

沢山お金を使ってくれる人は良い人だって
ヴァーバ言ってたもん！","You're a good person, right, lady?
My vaba always says that people who
spend lots of money are good people!"
20,Talk_01,"サヴォッタ！

…って
ゆっくり挨拶してる時間ないんだった！
早くお手伝いしないと！","Sav'otta!


...Wait, I don't have time to hang around
here greeting people like this!

I've got to hurry and go help out!"
21,Talk_02,サヴァーク！,Sav'aaq!
22,Talk_03,サヴァサーバ！,Sav'saaba!
23,Talk_04,ヴァーサーク！,Vasaaq!
24,Talk_05,"…って
ゆっくり挨拶してる時間ないんだった！
早くみんなの所行かないと！","...Wait, I don't have time to hang around
here greeting people like this!

I've got to hurry up and meet the others!"
25,Talk_06,"…って
ゆっくり挨拶してる時間ないんだった！
早く行かないと
ヴァードさん いなくなっちゃう！","Wait... I don't have time to hang around
here greeting people like this!

If I don't hurry, the vure will go away!"
