#,Title,JPja,USen
1,"""0000""",負けてないよ,You're pretty too.
2,"""0001""",寿命短いよ,They don't live long.
3,Near00,ホ～タル こい,"Hello, firefly..."
4,Near01,ホ～タル こい,"Hello, firefly..."
5,Talk01,"……

ちょっ… ちょっと アンタ誰よ！
こんな時間にレディーの部屋に来るなんて…
……あれ？

それってシーカーストーンじゃない？

まさかアナタがおばあちゃんが言ってた
大厄災の… あの剣士様ってこと？
へぇ～
もっとおじいちゃんかと思ってた…
まぁ私達みたいな若者にとっては
大厄災って言われてもピンとこないんだけど…
…って そのぽかんとした顔
もしかしてアナタもピンときてないの？","...


Hey! Who do you think you are?!
Don't you think it's rude to barge
into a lady's room at night?
...Huh?


Isn't that a Sheikah Slate?


Could it be that you're the legendary
swordsman grandma told me about?
The one from the Great Calamity?!
Huh. I thought you'd be A LOT older.
Honestly, it's hard for someone as young
as me to imagine the Great Calamity...
But...judging by the look on your face,
I suppose it's hard for you to imagine
it too?"
6,Talk07,"あーあ…""ホタルがうちに
たくさん来てくれないかなぁ…","*sigh* I wish those fireflies would come
play near my house..."
7,Talk09,"わぁ！

ホタルがこんなに！","...Oh! Wow!

Look at all those fireflies!"
8,Talk10,"わ～ ありがと～！！

でも…
これだけじゃちょっとさみしいかな…
この子達はすぐいなくなっちゃうから…
できれば朝までにもっと見つけてきてほしいな","Oh! Thank you!


But...I'm afraid there aren't enough.
There are so few, they disappear
too quickly to enjoy.
It would be nice if you could find more
before morning..."
9,Talk11,"あれ？ ポーチ光ってない？
もしかしてホタル捕まえてきてくれたの？
今 ちょっと忙しいから…
後で私の家で…ね…","Hm? Your pouch is...glowing? Could it
be you brought me some fireflies?

I'm actually crazy busy right now...
Maybe you could come by my house later?"
10,Talk12,"あれ？ ポーチ光ってない？
もしかして…捕まえてきてくれたの？
見せて！見せて！！","Huh? That glowing... Could it be you
caught some?! Show me, show me!"
11,Talk13,"はぁ…

夜道は危険だっていうから
大好きなホタルも眺めずに帰ってきてるけど
毎日毎日同じことの繰り返し…

せめてホタルがたくさん
ここに遊びに来てくれたらなぁ…","*sigh*


They say the roads are dangerous at
night, so I have to come straight home
without searching for fireflies...
I miss them so much. And the night sky...
Now it's the same tired thing every night.
I'm so sick of it...
If only the fireflies would come to play
here so I could still see them..."
12,Talk14,"キラキラ輝いて…
本当にキレイ…","They glow so prettily...
It's magical..."
13,Talk17,"うふっ…
ありがと！",Heehee! Thanks!
14,Talk18,ほんっと！ これだから男は…,Ugh! Boys are SO unromantic...
15,Talk20,"ありがとう… こんなことしかできないけど
ラズリの気持ち受け取って！","Thank you... This is all I have to offer,
but please accept it with my gratitude!"
16,Talk21,"ラズリのために
ホタル持ってきてくれたんでしょ？
見せて！見せて！！","You brought some fireflies for me,
didn't you?! Show me, show me!"
17,Talk23,"今日も疲れたぁ～

ちょっと落ち着きたいから
用があるなら お家着いてからでいい？","Ahhhh, I'm sooo tired! I'm eager to relax,
so maybe we can chat at my place?"
18,Talk24,"あれ？ ポーチ光ってない？
もしかしてホタル捕まえてきてくれたの？
今帰ったばかりだから…
ひと息つくまで ちょっと待ってて…","Hm? Is your pouch...glowing? Could it
be you caught some fireflies?

I just got home, so...can you please give
me a moment to settle in?"
19,Talk26,"…ウ ウソでしょ…？

まあ…
世の中ピンとこないことだらけだもんね…
私 ラズリっての
姉のクラリと一緒に村で呉服屋やってるんだ
よかったら のぞいてってよ","...Seriously?


Well...I suppose there are a lot of
crazy things in this world that are
hard to grasp.
Oh, my name's Lasli. I run a clothing
shop in the village with my older sister,
Claree. You should stop by sometime."
