#,Title,JPja,USen
1,Atacked00,油断はするな…,Don't get careless.
2,Atacked01,魔物のやつめ…,Those monsters...
3,Failed00,"こんなことじゃ…
あたい ゲルド族失格だ…","I shame the Gerudo with a performance
like that."
4,Failed01,うう…魔物のやつめ…,Urgh... That monster...
5,Guardian00,"ガーディアンに用はない！
さっさと逃げるよ！","Oh, no. I'm not tangling with a Guardian!
Time to move!"
6,MSG_Orud_00,"あたいは ゲルド族のカーシャ！
覚えておきな！
はるか南西にあるゲルド砂漠から…
ヴォーイハントに オルディン地方に来たのさ
ここには なかなかのヴォーイが…
フフ…いるじゃないのさ","I'm Karsh of the Gerudo. Remember
that name! I came to Eldin from the
Gerudo Desert, far to the southwest.
I'm traveling in search of voe, but I
haven't found any good ones so far.
Until just now, heh heh."
7,MSG_Orud_00_1,"はるか南西にあるゲルド砂漠から…
要するに ヴォーイハントに来たのさ","I came from Gerudo Desert, far to the
southwest, on a journey to hunt for voe."
8,MSG_Orud_01,"あたいは ゲルド族のカーシャ！
覚えておきな！
この街道には いろんな種族の男がいるねえ
歩いているだけで ゾクゾクしてくるよ
ゴロン族のゴツゴツした肌も悪くないね！","I'm Karsh of the Gerudo. Remember
that name!I run into voe from all sorts of races
on the road. I like the Gorons a lot. I
wish my hide was as tough as theirs!"
9,MSG_Orud_01_1,"この街道には いろんな種族の男がいるねえ
歩いているだけで ゾクゾクしてくるよ","I run into voe from all sorts of races on
the road. It's so thrilling to see how the
rest of the world lives."
10,MSG_Orud_02,"あたいは ゲルド族のカーシャ！
覚えておきな！
ゲルドの街には厳しい掟があって
ヴァーイしか入れない…
もし素敵なヴォーイと出会いたいなら？
こうして旅するしかないのさ！","I'm Karsh of the Gerudo. Remember
that name!Only vai are allowed in Gerudo Town.
Our laws are very strict about that.So the only way for us to meet strong
voe is to go on a journey outside the
town walls, like I'm doing now!"
11,MSG_Orud_02_1,"ゲルドの街にはヴァーイしか入れないからね
ヴォーイと出会うために旅をしてるのさ","Only vai are allowed in Gerudo Town, so
I'm on a journey outside the town walls
to meet a strong voe."
12,MSG_Orud_03,"あたいは ゲルド族のカーシャ！
覚えておきな！
ここから北に行くとあるゴロンシティには
お肌にいいという ゴロン温泉がある
ただし たどり着くまでが お肌に悪い…
魔物に襲われて傷だらけってわけさ！","I'm Karsh of the Gerudo. Remember
that name!If you go north of here to Goron City,
there's a place called Goron Hot Springs 
that's supposed to be good for your skin.
And you'll need to take good care of
your skin, too, after the monsters on
the way tear it to ribbons!"
13,MSG_Orud_03_1,"北のゴロンシティにある ゴロン温泉は
お肌にいいらしいが その道中が危険すぎる…","Goron Hot Springs in Goron City to the
north is supposed to be good for your
skin, but it's a dangerous trip to make."
14,MSG_Orud_04,"あたいは ゲルド族のカーシャ！
覚えておきな！
この山麓の馬宿からゴロンシティまでの道は
火山弾が飛んできて危険極まりない
もしもその危険に立ち向かう
勇敢なヴォーイがいるとしたら？
あたいはきっと惚れてしまうね！","I'm Karsh of the Gerudo. Remember
that name!The molten rocks raining down from the
volcano make the road from this stable
to Goron City a dangerous trek.
I'm thinking of challenging prospective
voe I meet to walk that road. It's one way
to weed out the cowards!"
