#,Title,JPja,USen
1,"""0000""",まかせて！,Leave it to me!
2,"""0001""",ごめんなさい…,Maybe later...
3,"""0002""",はい どうぞ,Here you go.
4,"""0003""",ごめんなさい…,Not right now...
5,Near_00,いないかなぁ…,Are there any over here?
6,Near_02,トカゲちゃ～ん…,"Heeeere, lizard, lizard..."
7,Near_03,はぁ…,*sigh...*
8,NewText_01,いやぁ熱いですねぇ…,"Sure is hot, ain't it?"
9,NewText_02,"こんばんは…
この辺りは夜でも ほんと熱いですねぇ…
それにしてもゴロン族の皆さんは凄いですね
この熱いのに鍋とは…","How's it going, buddy? Sure is hot
around these parts, ain't it? Even at
night, like you wouldn't believe.
But those folks from Goron City, I'll
tell ya... Sure are amazing, huh?
Eating hotpot even in this heat."
10,NewText_04,"あっ！ あなた！
ちょうど いいところに！","Oh, hey! Perfect!
You showed up at just the right time."
11,NewText_05,"私ゴロンシティからの帰りなんですが
土産を買うのを忘れちゃいまして…
デスマウンテンに生息している
ヒケシトカゲを捕まえて帰ろうと思ったんですが
すばしっこくて…

あなた もしヒケシトカゲを捕まえたら
私に譲って頂けませんか？
ヒケシトカゲを10匹捕まえてきてくれたら
私が持っている耐火の防具を差し上げますよ
ヒケシトカゲ
捕まえてきてもらえませんか？","I'm on my way back from Goron City
but forgot to buy souvenirs.

I wanted to capture some of those
fireproof lizards that live here on Death
Mountain, but those suckers are quick.
Say, you look pretty speedy. I bet you
could catch a ton! If you bring me 10, I'll
even give you some heat-resistant armor.
So what do you say, buddy? Help a pal
out of a jam by capturing me some 
fireproof lizards?"
12,NewText_06,"ヒケシトカゲを10匹捕まえてきてくれたら
私が持っている耐火の防具を差し上げますよ
ヒケシトカゲ
捕まえてきてもらえませんか？","If you bring me 10 fireproof lizards, I'll
give you this heat-resistant armor I have.

What do you say, buddy? Up for catching
me some fireproof lizards?"
13,NewText_07,"ほんとですか！
それではお願いしますね！
ヒケシトカゲ""10匹ですよ
きっと この辺りにもいるはずですから！","Great!
Thanks, buddy!

Just 10 fireproof lizards should be
enough. You can probably find some
right around here!"
14,NewText_08,"そうですか…
残念です…""自分で探すしかないかぁ…","Oh, you aren't up for it? I guess I'll just
have to try harder. I mean, my knees are
pretty bad, but I'll figure it out."
15,NewText_09,"おぉ！！
ヒケシトカゲ！""10匹捕まえてくれたんですね！
お早く私に譲って下さい
譲ってくれたら耐火の防具を差し上げましょう","Wow, look at all them fireproof lizards!
You actually managed to chase down 10
of those suckers?!
Well, a deal's a deal. Hand them over and
I'll give you this heat-resistant armor."
16,NewText_11,"ヒケシトカゲ""見つかりました？
10匹捕まえたら持って来て下さいね","Did you find any fireproof lizards?
If you find 10, feel free to drop them off
with me, buddy!"
17,NewText_12,"えぇ…""譲ってくれないんですか…
残念…""自分で探すしかないかぁ…
もし気が変わったら譲って下さいね","Huh? You wanna keep them for yourself?
Well, that's too bad... But I guess fair's
fair. You caught them, after all.
But I'll be glad to take them off your
hands if you change your mind."
18,NewText_13,"ありがとうございます…！
それでは これをどうぞ…","Thanks, buddy!
Here, take this."
19,NewText_14,"あらら…それはいいのですが…
あなた持ち物がいっぱいなのでは…？
申し訳ないですが持ち物を整理してから
また来てください","Oh, um... I'm not trying to shortchange
you, buddy, but...you're holding too
many things already.
I'll hold on to this until you can free up
some space, so just come back then."
20,NewText_15,"…

ん…？ どうしました…？

あっ この兜は譲れないのですよ！
高価な品でしてね…！
欲しいならゴロンシティで買って下さい

ゴロンシティなら
ここからさらに北へ向かった五合目ですよ","...Hmm? Something the matter, buddy?


My helmet? Sorry, it ain't for lending! It's
too expensive for that. You can buy your
own in Goron City.
To get to Goron City, head north from
here. It's the fifth stop up the trail."
21,NewText_16,"あっ そうだ！

もしまたヒケシトカゲを捕まえてきてくれたら
3匹を20ルピーで買い取りましょう！
土産は多い方がいいですし…

ヒケシトカゲと魔物の素材があれば
燃えず薬が作れますしね！","I'm sure you'd agree, buddy, that it's
always handy to have some spare
souvenirs on hand.
So if you come across any more
fireproof lizards, I'll buy them
off you at 20 rupees for three.
And if I get my hands on some
fireproof lizards and some monster
parts...
I can make some fireproof elixirs
to boot!"
