#,Title,JPja,USen
1,"""0000""",どうしたの？,What's wrong?
2,"""0001""",さようなら,See you around.
3,"""0002""",やるしかないッス！,Go for it.
4,"""0003""",地道に働いたら？,Take it easy...
5,near00,グゥ… グゥ…,*snooooooore*
6,talk00,あー どうしたもんスかねぇ…,Ahhh! I just don't know what to do!
7,talk01,"ホラ人生楽しむには ルピーとか
名声とか要るわけッスよ
そーゆーのを手っ取り早く稼ぐには
ハイラル城が うってつけだとは思うんスけど…
何てったって昔に王様や騎士たちが ため込んだ
武器や財宝が ザックザクって うわさッス！
けど知っての通り
バケモノも ざっくざくッス…","Listen, if you wanna get anywhere in this
life, you gotta have cash and cachet.

And the only way to do that in this day
and age is to go to—stay with me here—
Hyrule Castle.
I know—it sounds crazy. But rumor has it
that it's full of abandoned treasure and
weapons!
They're just sitting in there, free for the
taking! Well...if you can get past all of
the bloodthirsty monsters, of course."
8,talk02,誰ッスかこんな時間に…,"Who are you? Who shows up at a time
like this?"
9,talk04,"あぁまた あんたッスか
俺 どうしたら いいッスかねぇ？","Oh, hey, bud. I'm just contemplating
whether or not I should risk my life to
go treasure hunting in the castle."
10,talk08,"そうッスよね！ せっかく耳寄りなウワサも
聞いたんだから やるしかないッスよね！","You're right! I can't let a smoking-hot
rumor like this go to waste!
I just gotta act on it, bud!"
11,talk09,つれないッスねぇ…,"Thanks for nothing, bud."
12,talk10,"えー せっかく いいウワサも仕入れたのに
そんな かったるいこと やってられないッス…","Take it easy? And let a rumor like this go
to waste? Nah, I gotta go big..."
13,talk11,"何でもハイラル城の北側には船着き場があって
そこからなら城の中に入れるらしいッスよ
しかもその辺りには古代の祠もあるらしいッス
こりゃお宝の匂いが ぷんぷんッス！
けど…""ハイラル城に行って
帰ってきた奴はいない なんて話も聞いたッス…
うーん なかなか踏ん切りが
つけられないッス…","There's a docks on the north side of
Hyrule Castle, see, and I hear you can
get inside the castle from there.
There's also an ancient shrine
somewhere around there. Smells
like treasure to me. Stinks like it, even!
Of course, no one I know who's gone to
Hyrule Castle has come back. Probably
because they're too busy being rich!
I just need to come up with a solid plan.
Then I'll be living the good life!"
