#,Title,JPja,USen
1,"""0001""",その珠は？,What's that ball?
2,"""0002""",この村のこと教えて,This village?
3,"""0003""",君のことが知りたい,What's your story?
4,"""0004""",特にない,"I'm good, thanks."
5,"""0006""",へぇ～,"Really, though?"
6,"""0007""",それどこにあるの？,Where is it?
7,"""0008""",何してるの？,Whatcha doin'?
8,"""0009""",寝ないの？,Aren't you tired?
9,"""0010""",もっと顔見せて,What's on your face?
10,"""0011""",おやすみ,Good-bye.
11,"""0015""",実は…,Actually...
12,"""0020""",最初のページ,First page.
13,"""0021""",最後のページ,Final entry.
14,"""0022""",読まない,Don't read.
15,"""0023""",次のページを見る,Next page.
16,"""0024""",前のページを見る,Previous page.
17,"""0025""",読むのをやめる,Stop reading.
18,"""0026""",読む,Read.
19,Diary00,"お婆様が教えてくれました

パーヤは恋というものを
覚えたようです
叶わぬ想いかもしれませんが
叶えようとも思いません
あの方が…皆が幸せであることが
パーヤの幸せなのです
恋というものを教えてくれた あの方に
感謝の気持ちで一杯です","I spoke to Grandmother about what's
been weighing on my mind lately.

For the first time...my heart knows what
it means to love.

Though it may be a love that is never
shared or returned, just having it for
myself is gift enough.
Seeing him brings me great joy...
I bet he has that effect on everyone.

I have only gratitude toward him for
showing me what it's like to feel this
way about someone."
20,Diary01,"リンク様が永い眠りから覚められましたが
記憶をなくされているようでした…
しかし それでもお婆様の嬉しそうなこと
あんなお婆様を見るのは初めてかもしれません
リンク様のお姿は とても凛々しく…
思い描いていた勇者様 そのものでございました
そそり立つ立派なお耳に
流れるような金色のもみあげ
寸分の狂いもない九一分けの御髪…なぜか胸の高鳴りがとまりません","After sleeping for ages, Master Link has
finally awoken. It seems his memory is
completely gone...
But that hardly mattered to Grandmother.
I believe this is the first time I've ever
seen her quite so happy. 
Master Link himself looks so gallant...
He is the very picture of the hero
I always imagined.
His blond sideburns flow like a golden
waterfall over his dignified, pointy ears.

And the way his hair is so perfectly
parted to the side, wow!I don't know why, but my heart won't
stop beating a mile a minute..."
21,Diary02,"100年前 お婆様は来たるべき時に備え
ゼルダ様や大叔母様達と共に
ある1人の剣士様を
永い眠りにつかせたと言います
その方の名は リンク様と
おっしゃるそうです
そしてお婆様は今でも
リンク様を ずっと待ち続けています
パーヤも祈りましょう
このハイラルのために… お婆様のために","Grandmother says she conspired with
Princess Zelda and Auntie Purah
100 years ago.
They decided to put a lone swordsman
into a long sleep so as to prepare for
a time that was foretold in legends.
The name of that swordsman...
is Link.

Since then, Grandmother has been
waiting for him to reappear after
all this time.
I, too, pray that he awakens soon.
For the sake of Hyrule...and for
Grandmother's sake as well."
22,Diary03,"生まれてからこの方
若い殿方とは ほとんど交わりがなく…
うまくしゃべれない時もありますがリンク様だけは目を見て
お話することが出来るようになりました
もちろんまだ ちょっぴり恥ずかしいのですが…
ついつい目で追ってしまいます
リンク様の美しい藍い目のせいでしょうか？
不思議でございます","I must admit that I'm still not great at
interacting with young men.But I think I am finally able to speak
to Master Link while looking him in
the eyes! Those wonderful eyes...
Naturally I still get a little embarrassed...
but I can't help it! I always follow his
gorgeous gaze with my own.
I blame his beautiful blue eyes. Ugh.
This is all so strange..."
23,Diary04,"リンク様は ゼルダ姫様のことが
お好きなのでしょうか…
もしそうであれば大変お似合いだと思います
パーヤは一生懸命応援させていただきます
だけれども そう思っているだけで
とても胸が締め付けられます…
病気かもしれません
明日 お婆様に薬をもらわなければ…","I wonder if Master Link is in love with
Princess Zelda...

If so, I think they suit each other quite
splendidly. If they became a couple,
I'd give that pairing my full support.
Though just the thought of that makes
my heart hurt...

I wonder if I'm coming down with
something. I'll ask Grandmother for
some medicine tomorrow."
24,Diary05,"お薬を お婆様にもらいに行くと
お婆様は ただただ微笑まれておられました
ボガードとドゥランにも聞いてみましたが
彼らも ただただ微笑むだけでした…
結局 お薬は いただけませんでした…","When I asked Grandmother for some
medicine, she just sat there with a grin
on her face.
I went to Cado and Dorian to ask them
what that meant, but they just grinned
at me too.
In the end, I wasn't able to get any
medicine..."
25,Diary06,"リンク様は
今 どこで なにを されているのでしょう…
どんな夢を みられているのでしょう…リンク様の事を想うと夜も眠れません… リンク様","I wonder where Master Link is now
and what he's doing...

What kind of dreams flit through that
head of his as he sleeps?Thinking of him keeps me awake at night.Oh, Link..."
26,Diary08,"100年前 お婆様は来たるべき時に備え
ゼルダ様や大叔母様達と共に
ある1人の剣士様を
永い眠りにつかせたと言います
そしてお婆様は今でも
その剣士様を ずっと待ち続けています
パーヤも祈りましょう
このハイラルのために… お婆様のために","Grandmother says that she conspired
with Princess Zelda and Auntie Purah
100 years ago.
They decided to put a lone swordsman
into a long sleep in order to prepare
for an event that was foretold.
Since then, Grandmother has been
waiting for him to reappear after
all these years.
I, too, pray that he comes soon.
For the sake of Hyrule...and for
Grandmother's sake as well."
27,Diary09,"リンク様が永い眠りから覚められましたが
記憶をなくされているようでした…
しかし それでもお婆様の嬉しそうなこと
あんなお婆様を見るのは初めてかもしれません
リンク様のお姿は とても凛々しく…
思い描いていた勇者様 そのものでございました
そそり立つ立派なお耳に
流れるような金色のもみあげ
寸分の狂いもない九一分けの御髪…なぜか胸の高鳴りがとまりません","After sleeping for ages, Master Link has
finally awoken. It seems his memory is
completely gone...
But that hardly mattered to Grandmother.
I believe this is the first time I've ever
seen her quite so happy. 
Master Link himself looks so gallant...
He is the very picture of the hero
I always imagined.
His blond sideburns flow like a golden
waterfall over his dignified, pointy ears.

And the way his hair is so perfectly
parted to the side, wow!I don't know why, but my heart won't
stop beating a mile a minute..."
28,Diary10,"若い殿方は… やはりまだ苦手ですがリンク様だけは目を見て
お話することが出来るようになりました
もちろんまだ ちょっぴり恥ずかしいのですが…
ついつい目で追ってしまいます
リンク様の美しい藍い目のせいでしょうか？
不思議でございます","I must admit that I'm still not great at
interacting with young men.But I think I am finally able to speak
to Master Link while looking him in
the eyes! Those wonderful eyes...
Naturally I still get a little embarrassed...
but I can't help it! I always follow his
gorgeous gaze with my own.
I blame his beautiful blue eyes. Ugh.
This is all so strange..."
29,Diary11,"リンク様は ゼルダ姫様のことが
お好きなのでしょうか…
もしそうであれば大変お似合いだと思います
パーヤは一生懸命応援させていただきます
だけれども そう思っているだけで
とても胸が締め付けられます…
病気かもしれません
明日 お婆様に薬をもらわなければ…","I wonder if Master Link is in love with
Princess Zelda...

If so, I think they suit each other quite
splendidly. If they became a couple,
I'd give that pairing my full support.
Though just the thought of that makes
my heart hurt...

I wonder if I'm coming down with
something. I'll ask Grandmother for
some medicine tomorrow."
30,Diary12,"お薬を お婆様にもらいに行くと
お婆様は ただただ微笑まれておられました
ボガードとドゥランにも聞いてみましたが
彼らも ただただ微笑むだけでした…
結局 お薬は いただけませんでした…","When I asked Grandmother for some
medicine, she just sat there with a grin
on her face.
I went to Cado and Dorian to ask them
what that meant, but they just grinned
at me too.
In the end, I wasn't able to get any
medicine..."
31,DiaryFirst,"パーヤの日記のようだ…
見てはいけない…見ては…","It looks like Paya's Diary.
Must not look...
Must not look..."
32,DiaryFirst_ch2,"パーヤの日記のようだ…
まだ書き始めて間もないようだ","This looks like Paya's Diary... It seems
she's only just started writing in it..."
33,NakedPlayer,な何かお羽織り下さい,Please cover yourself up...
34,Near01,ふぁぁ～,Ahhhh...
35,Near02,スースー,Zzz... Zzz...
36,Near03,いやされます…,I love the sound of rain...
37,Talk00,"リ… リンク様…ど… どうかなさいましたか？
このパーヤに何かご用で ございましょうか？","M-Master Link!Is anything the matter? Anything at all?
Can I help you in any way?!"
38,Talk01,"私で お役にたてることが ございましたら
なんなりと お申し付けください","Please don't hesitate to let me know
if I can ever be of service!"
