#,Title,JPja,USen
1,"""0000""",表紙へ,Check cover.
2,"""0001""",読むのをやめる,Stop reading.
3,"""0002""",可愛いスタンプ,Cute Stamps.
4,"""0003""",ビタロックのムフフ機能,Stasis Stuff.
5,"""0004""",アイスメーカーあれこれ,Crazy for Cryonis.
6,"""0005""",次のページへ,Next page.
7,"""0006""",最初のページへ,First page.
8,talk00,"シーカーストーン説明書
文責：プルア","Sheikah Slate Manual
Written by: Purah!"
9,talk01,"タイトル
可愛いスタンプ
スタンプとは
マップに打つ事が出来る目印の事！
使い方は簡単

まずは シーカーストーンで
マップを開いてみよう！
ぐりぐり動かして気になる場所があったら
そこでボタンを ポチるだけ
また スタンプの代わりにマップピンをポチれば
実際に光の柱が立つから チョー便利！","Cute Stamps


Stamps are simply a mark that you can
place on your map. They are incredibly
easy to use and cute to boot!
First, open the map on your
Sheikah Slate.

Look around it, and if you find a spot
you're curious about, you can place a
stamp there with the press of a button.
You can also use pins instead of stamps
if you want to create an actual beam of
light at that spot to show you the way.
It's all super handy!"
10,talk02,"タイトル
ビタロックのムフフ機能
ビタロックには動いているモノを止める！
という使い方以外に
止めた物質に衝撃力を溜める
という機能もあるヨ！
ビタロックで物質の動きを止めたら
そいつを とにかく殴ってみよう！
そしてビタロックを解除すると…？","Stasis Stuff


Not only does Stasis stop objects from
moving...it also stores concussive force
within the stopped matter!
So if you freeze an object with this rune,
try hitting it while it's frozen.

Then, when the Stasis effect has ended...
Heh, you'll see!"
11,talk03,"タイトル
アイスメーカーあれこれ
アイスメーカーで作った氷は
乗るだけじゃなくって
ガーディアンのサーチを
簡単に切る事が できるヨ！
ガーディアンの「ビビビ」が聞こえたら
氷作って隠れる！ これ常識！","Crazy for Cryonis


Cryonis isn't only for making ice pillars
you can climb on...

You can also use it to cut the line of
sight of a Guardian's search beam!

If you hear a Guardian go BEEP BEEP,
quickly make some ice to hide behind.
It's just common sense!"
