#,Title,JPja,USen
1,"""0000""",スナザラシラリー？,Sand-seal races?
2,"""0001""",さよなら,Bye.
3,"""0006""",その事ですが…,About that...
4,"""0007""",また来ます！,I'll be back!
5,"""0010""",ネタ？,Information?
6,"""0030""",ウルボザのこと聞かせて,Tell me about Urbosa.
7,"""0031""",さよなら,Good-bye.
8,"""0032""",ルージュ…,Riju...
9,"""0033""",族長はどこ？,Where's the chief?
10,"""0034""",砂漠の街の宝珠について,The treasured orb?
11,"""0035""",日記？,Urbosa's diary?
12,"""0036""",知ってる,I've heard of it.
13,"""0037""",知らない,Never heard of it.
14,Animal_Sunazarashi_D_DLC2nd_SD_Npc_oasis032_000,"その子は私のスナザラシだから
連れてかないでね
フラジィ先輩に怒られちゃっても
知らないよ？","That's MY sand seal, so you'd better
stay back. I won't be held responsible
if Frelly gets upset."
15,Npc_Attacked_006_DLC2nd_SD_000,"あいつらがゲルド族から盗んだ珠は 
二階の物置にあるのは分かってるんすけど…
これ以上近づくのは危険っすね
命あってのトレジャーハンターっす","I know one thing for sure... The orb they
stole from the Gerudo tribe is in their
second floor storage area.
But getting there is too dangerous.
Staying alive is essential to being a
great treasure hunter!"
16,Npc_Attacked_006_DLC2nd_SD_001,"イーガ団は旅の剣士によって
壊滅させられたって聞いたけど…
ちょっと覗いてみたら いっぱいいるっす！
バナナもいっぱい持ち込んで再集結っすかね？","I hear the Yiga Clan were taken out by
a traveling swordsman. And yet...

There are still an awful lot of 'em around!
They seem to be hoarding bananas too.
Maybe they're still up to no good?!"
17,Npc_Attacked_006_DLC2nd_SD_100,"まさか この中から？

その珠を？

横取り？

したんすか？！

兄ちゃん バレたら あいつら
地の果てまで追いかけてくるっすよ！","Did you really go in there...


and nab that orb?


You stole it, yeah?


You really did?!


Yikes. If they find out, they'll surely
chase you down until the end of time!"
18,Npc_Attacked_006_DLC2nd_SD_200,"あああ…
大事なお宝が穴の中に…
なんてこと するんすか…","Oooh... You threw the precious treasure
down below...

What were you thinking?!"
19,Npc_Attacked_011_DLC2nd_SD_000,"うん？ もしかして
あんたもお宝を探しに来たのかい？
イーガ団のやつら… ゲルド族の宝のひとつ
宝珠とやらを この中に持ち込みやがった
こいつは とんでもない値打ちものだと思って
砂漠から後をつけてきたんだけど…
こうなっちゃ お手上げだね

…あっ
あいつら まさか…
この辺りの言い伝え通り
そこの大穴に宝珠を投げ込むつもりじゃ…","Hm? Are you looking for treasure too?


The Yiga Clan... They took one of the
Gerudo Tribe's treasures in there,
a sacred orb or something.
It looked like it could sell for a
high price, so I followed them.
But... Well...
Now I'm thinking I should probably
back away while I still can.

Wait. You don't think...


They're not planning to throw the
sacred orb into that big, gaping hole
like that old legend says...right?"
