#,Title,JPja,USen
1,"""0000""",買います,I'll take it.
2,"""0001""",さようなら,Bye.
3,"""0002""",教えてください！,Tell me your secrets!
4,"""0003""",けっこうです,Not interested.
5,"""0004""",守りの極意？,Secret art?
6,"""0005""",回避ジャンプ,Dodge jump.
7,"""0006""",ガードジャスト,Perfect block.
8,"""0007""",見たかも…,I saw that...
9,"""0008""",見てない…,I saw nothing...
10,"""0009""",横跳び,Side jump.
11,"""0010""",バク宙,Backflip.
12,"""0013""",料理？,Cookin'?
13,Near00,カボチャはいらんかの,Want some pumpkins?
14,Near01,雨なんぞに負けんでの,Rain won't stop ME!
15,Near02,ほっほっほ,Aha ha!
16,Near03,このっ！ このっ！,Hyah! Hyah!
17,Near04,また育てんとのぅ,I need to grow more...
18,Near05,今日も良い天気だのぅ,Another beautiful day...
19,Near06,恵みの雨だのぅ,"Ah, the rain of life!"
20,Near07,腹がへったのぅ,So hungry...
21,Near08,疲れもふきとぶのぅ,My stress just melts away!
22,Near09,カボチャが一番じゃ…,Pumpkins are superior...
23,Near10,家に戻るとするかのぅ,I should head home.
24,Near11,今日も疲れたのぅ,I'm exhausted today.
25,SupriseHouse,ほ ほぅ？！,Baaah! Hm?!
26,SupriseHouse_00,"なんじゃ… お前さんか…

ばあさん以外が家にいることなんてないもんでな
ビックリさせんでくれよ","Oh! It's you.


No one's usually home, other than
my wife. So, yeah... Don't scare me
like that!"
27,SupriseHouse_01,……,...
28,Talk00,"ヨロイカボチャ""気に入ってくれたかのぅ？",Did you enjoy that fortified pumpkin?
29,Talk01,"ほっほっほ
そいつを選ぶとは意外と目利きだのぅ","Ha! You've got a keen eye to pick
that one."
30,Talk02,"ほっほっほ
全部なくなってしもうたのぅ
手塩にかけたカボチャたちが
誰かの役に立つのは うれしいものよのぅ
次はもっと立派なのが作れるよう
頑張らんとのぅ","I'm so glad my beloved pumpkins are
useful to somebody.

I'll work extra hard to grow an even
better batch next time!"
31,Talk03,"ふむぅ…
とびきりウマいのにのぅ…","Mmm... It's really delicious, though..."
32,Talk04,"ほっほっほ
ヨロイカボチャが欲しいんかのぅ？
今畑に向かっとるでのぅ
もう少し待ってくれんかのぅ","Ha! You wanna buy a fortified pumpkin,
don'tcha? Of course ya do! As it were,
I'm heading to the fields right now...
Mind waiting just a bit longer?"
33,Talk05,"すまんのぅ これから夕飯でのぅ
カボチャなら また明日にしてくれんかのぅ","Sorry, mister. It's dinnertime now.
If this is about my pumpkins,
can it wait until tomorrow?"
34,Talk06,"はルピー
お1つ いかがかのぅ？","That'll cost ya  rupees.
Interested?"
35,Talk07,"やはり ばあさんのつくる
ヨロイカボチャの料理が1番だのぅ
ニンジンなんぞより
よっぽど ウマいのぅ","My wife's fortified pumpkin dishes
are the best.

Way better than a barrel o' carrots,
that's for sure!"
36,Talk08,"お楽しみの所悪いがのぅ

この梅園は ばあさんが大切にしとるもんでのぅ
大切に頼むでなぁ","Sorry to interrupt, but...


This plum garden is very special to 
my wife. Please be considerate
of that."
