#,Title,JPja,USen
1,Atacked00,"うーむ…
まだ危険は去っちゃいませんね？","Something tells me...we aren't quite out
of danger yet..."
2,Atacked01,"うーむ…
まだ魔物の気配が残ってますけど","I don't see any more monsters, but... 
I can feel their eyes on me."
3,Failed00,うーむ…あちこちが痛い…,"Huh? Where am I sore?
...
...Everywhere..."
4,Failed01,うーむ…成す術なし！,"Oh, uh... There was nothing I could do!"
5,Guardian00,"来るぞ来るぞ！
ガーディアンが来るぞー！わー！","It's coming! A Guardian is coming!
Run for your lives!"
6,MSG_Orud_00,"うーむ…進むべきか戻るべきか
悩める男 ダエトール…
悩むべきか悩まぬべきか
うーむ悩ましい…","Hmm... Should I keep going, or should I
turn back? A troubling dilemma...

But is it even worth being troubled by?
Now that's troubling..."
7,MSG_Orud_00_1,"今日も悩むダエトール…
進むべきか戻るべきか…","My next big life decision... Should I keep
moving forward, or should I turn back?"
8,MSG_Orud_01,"うーむ…熱さに耐えるか退くか
悩める男 ダエトール…
熱による汗と冷や汗の両方タラタラです","Hmm... Should I try to withstand the
heat, or should I not even bother?
A troubling dilemma...
No matter the temperature of the sweat,
I'm going to be soaked either way."
9,MSG_Orud_01_1,"今日も悩むダエトール…
熱さに耐えるべきか退くか…","My next big life decision... 
Can I take the heat, or should I
get out of the kitchen?"
10,MSG_Orud_02,"うーむ…ここで休むか休まず行くか
悩める男 ダエトール…
あのね…
休んでるんじゃない悩んでるんだ","Hmm... Should I rest here, or should I
try to find a better spot?
A troubling dilemma...
It's not like I'd be able to get any rest
right now, anyway... Certainly not with
all these troubles on my mind."
11,MSG_Orud_02_1,"今日も悩むダエトール…
休むべきか行くべきか…","My next big life decision... To rest,
or not to rest?"
12,MSG_Orud_03,"うーむ…火山に挑むか挑まぬか
悩める男 ダエトール…
もし見物客が大勢いれば
調子に乗って挑んじゃうんだろうけどね","Hmm... Should I try to reach the volcano
or take the easy way out and just not
make the trip? A troubling dilemma...
If there are a lot of tourists hanging
around up there...there could be
some good selling to be had."
13,MSG_Orud_03_1,"今日も悩むダエトール…
火山に挑むべきか挑まぬか…","My next big life decision...
To challenge the volcano, or to simply...
not?"
