#,Title,JPja,USen
1,"""0000""",借りるザラシ,Let's seal the deal!
2,"""0001""",乗り方教えザラシ,How do I set seal?
3,"""0002""",借りないザラシ,Seal you later!
4,Near_04,一乗り20ルピーだよ,Sand seals—20 rupees!
5,Talk_01,"広大なゲルド砂漠を渡るなら
スナザラシは必須！
一乗りたったの20ルピー！
乗ってかないかい？","If you're hoping to cross the
vast Gerudo Desert, a sand seal is a
must have!
It's only 20 rupees to rent one!
What do you say?"
6,Talk_02,"なんだい… そのしゃべり方…
気持ち悪いねぇ
もしかして外の若者の間で流行ってる…とか？","What? Is that how young people talk
now?

I wonder if it's just a thing outside Gerudo Town..."
7,Talk_03,"なんだい… そのしゃべり方…
気持ち悪いねぇ
もしかして外の若者の間で流行ってる…とか？

まあいい… ゲルド砂漠は広大だ
外に出るならスナザラシは必須だよ
必要になったらまた声をかけておくれ","What? Is that how young people talk
now?

I wonder if it's just a thing outside Gerudo Town...


Anyway... The Gerudo Desert is vast.
You'd be wise to take a sand seal if
you're traveling beyond town."
8,Talk_04,"…代金が足りないようだね

スナザラシの世話もタダじゃないんでね
これが高いってんなら諦めとくれ","Hrm. It looks like you haven't got
enough to pay the rental fee.

You know, sand-seal care isn't
cheap... You can't rent one if you
can't afford it."
9,Talk_05,"おや…
盾を持ってないのかい？
スナザラシに乗るためには
盾が必要なんだよ
盾もつけるなら50ルピーになるけど
どうする？","Oh, um... Do you not have a shield?
You need a shield if you want to surf
the dunes with a sand seal.
For 50 rupees, I can give you a shield.
What do you think?"
10,Talk_07,"広大なゲルド砂漠を渡るなら
スナザラシは必須だ ザラシ！
一乗りたったの20ルピーだ ザラシ！
乗ってかないか ザラシ？","If you need to cross the vast Gerudo
Desert, a sand seal is the perfect
way to do it! You'll seal what I mean!
It's only 20 rupees to rent one!
What do you say?"
11,Talk_08,"気をつけるんだよ！
サヴォーク ザラシ！","Great sealing ya!
Sav'orq!"
12,Talk_09,"まあいいけど… ゲルド砂漠は広大だよ
外に出るならスナザラシは必須だ ザラシ
ふふ… この言葉外ではやってんだろ？
私もまだまだ年寄り扱いされたくないんでね","The Gerudo Desert stretches as far as
the eye can seal. You'd be wise to take a
sand seal if you're traveling into it."
13,Talk_10,まだ他にもあるのかい？,Was there something else you needed?
14,Talk_11,"…代金が足りないようだね

スナザラシの世話もタダじゃないんでね ザラシ
これが高いってんなら諦めとくれ","Hrm, you haven't got enough for the
fee? But it's such a small fee! It really is
a seal at that price...
You know, sand-seal care isn't
cheap... I hate to say it, but you
can't rent one if you can't afford it."
15,Talk_12,"おや…
盾を持ってないのかい？
スナザラシに乗るためには
盾が必要なんだよ
盾もつけるなら50ルピーになるけど
どうする ザラシ？","Oh, um... Do you not have a shield?
You can't ride the sands without a shield.

Can you imagine the pain of a sand seal
dragging your unshielded body over the
hot, rough sand? Ouch.
Look, I can sell you a nice shield for
50 rupees. What do you say?"
16,Talk_14,"その恰好…
お客さん フラジィが言ってたハイリア人だね
私はコームってんだ フラジィは私の娘でね
2人でレンタザラシ屋やってんのさ
砂漠を渡るならスナザラシは必須だからね
これでも結構繁盛してるんだよ
盾の上に立ってスナザラシに
引っ張ってもらうんだけど
ウチのスナザラシは
調教済みのいい子ばかりだからね
外にいるスナザラシよりは
扱いやすいと思うよ
まぁスナザラシが必要になったら
いつでも声かけておくれよ","That look... Hmm. You must be the Hylian
Frelly was talking about. My name is
Kohm—I'm Frelly's mother.
We run a shop where we rent out
sand seals. If you plan on crossing the
desert, you'll need a sand seal!
It may seem unlikely, but we're actually a
thriving business. And it's so easy for
a customer to get the hang of it!
All you have to do is just stand on your
shield and let the sand seal pull you
along!
Of course, our sand seals have all been
trained. They're much easier to handle
than a sand seal you'd find in the wild.
If you're in need, just let me know."
