#,Title,JPja,USen
1,"""0000""",お願いします,"Yes, please!"
2,"""0001""",けっこうです,I'll pass.
3,Henshin00,お命 ちょうだい する！,NOW DIE!
4,Henshin01,コーガ様の仇！,For Master Kohga!
5,Near00,旅の方！,"Greetings, traveler."
6,Talk00,"もし…旅の方
苦難の相が お顔に出ていらっしゃるようで…
これからの あなたの運勢が知りたければ
ぜひ占ってあげましょう","Excuse me, young traveler, but if I may
be so bold... You look quite troubled.

Perhaps a glimpse into what your future
holds would bring comfort to your spirit?
That is...may I tell you your fortune?"
7,Talk01,"では…""心して聞いてください

赤い色が見えます…

それはそれは美しい赤…","Ahh, very good. Now let me see...


I see...red... A crimson...deep and rich...
It's the most beautiful color I've
ever seen..."
8,Talk02,あなたの血の色です！,Oh! It's the color of your blood!
9,Talk03,"それは そうでしょう
知らない方が いいこともありますよね…","Perhaps that is for the best...
Some things may be better off
left unknown."
10,Talk04,今日が あなたの命日になるなんてね！,"Like...how today is the day your life
is ended!"
11,Talk05,"相変わらず
苦難の相が お顔に出ていらっしゃるようで…
あなたの運勢が知りたければ
ぜひ占ってあげましょう","I have to say... Your visage looks just as
troubled as ever. Perhaps a glimpse of
your future will ease your worries?
What do you think? Shall I tell you
your fortune?"
12,Talk06,"では…""心して聞いてください

黒い色が見えます…

深く深く吸い込まれるような黒…","Excellent... Now then, let me see...


I see...black. So much blackness...
A deep, dark abyss, drawing you in..."
13,Talk07,あなたは今日無に帰するのです！,Ah! It's the void you're about to inhabit.
