#,Title,JPja,USen
1,"""0000""",ここで何しているの？,What brings you here?
2,"""0001""",さようなら,Good-bye.
3,"""0004""",リーバルのこと教えて,Tell me about Revali.
4,"""0005""",さようなら,Bye.
5,"""0006""",他のことが聞きたい,Tell me something else.
6,"""0007""",退魔の剣って？,Sword?
7,"""0008""",オオワシの弓って？,Great Eagle Bow?
8,"""0009""",メドーって？,Medoh?
9,"""0010""",リーバルのこと教えて,Tell me about Revali.
10,"""0011""",なんでもない,Never mind.
11,"""0012""",行ってらっしゃい！,Take care.
12,"""0013""",待って！,Not yet.
13,"""0014""",わかった,Sure thing.
14,"""0015""",リーバルのこと教えて,Tell me about Revali.
15,"""0016""",テバは？,Where's Teba?
16,"""0017""",カーンは？,Where's Kaneli?
17,"""0018""",神獣 ヴァ・メドー？,Divine Beast?
18,"""0019""",龍は？,The dragon?
19,"""0020""",さようなら,Can't talk now.
20,"""0021""",詳しく聞かせて,Tell me more!
21,"""0022""",また今度,Maybe later.
22,"""0023""",オルドラのこと,About Dinraal?
23,"""0024""",フロドラのこと,About Farosh?
24,"""0025""",ネルドラのこと,About Naydra?
25,"""0026""",他のこと,Tell me other things.
26,"""0027""",龍のこと,Let's talk dragons.
27,"""0028""",炎をまといし龍って？,The flame dragon?
28,"""0029""",日記？,Diary of Revali?
29,"""0030""",四つの的の試練知ってる？,The four targets trial?
30,"""0031""",四つの的の試練知ってる？,The four targets trial?
31,Npc_HighMountain004_Near00,ホッ ホゥ,Hoo hoo...
32,Npc_HighMountain004_Talk00,"ホゥ…？""末裔様…
何かを聞きたそうな目をしていらっしゃる","Hoo hoo... Hello, Champion descendant.
You look like you're sitting on a question
that would like to hatch."
33,Npc_HighMountain004_Talk01,"リーバル様のことをお尋ねで？
ホッ ホゥ… これはなんという偶然でしょう
実は少し前リーバル様の日記が発見されまして
我らが英傑様の日記ですから皆はもう大喜び…
しかし誰もが簡単に見てよいものでは
ありませんので…
私の判断でリーバル様を師と仰ぐ
テバに管理を任せました","You're curious about Master Revali?
Hoo hoo! What perfect timing.

We recently found The Diary of Revali.
We were all excited to locate such a
personal item of the Champion's.
However, not just anyone has the right
to read something of that nature... 

That's why I left Teba in charge of it,
since he so admires Master Revali."
34,Npc_HighMountain004_Talk02,ホッ ホゥ…,Hoo hoo...
35,Npc_HighMountain004_Talk04,私に答えられる事なら なんなりと,I am happy to answer anything I can.
36,Npc_HighMountain004_Talk05,何についてお話ししましょう？,What shall I speak of?
37,Npc_HighMountain004_Talk07,他に何かございますかな？,Was there anything else?
38,Npc_HighMountain004_Talk08,私に答えられる事なら なんなりと,I am happy to answer anything I can.
39,Npc_HighMountain004_Talk09,他に何かございますかな？,Was there anything else?
40,Npc_HighMountain004_Talk10,"ホゥ…？""テバですか…
家にはいませんでしたか？
彼は リトの英傑リーバル様に憧れ
この村の戦士になりました
息子のチューリもリーバル様のような
立派な戦士に… と望んでいるようです
テバの妻の サキなら
所在を知っているのではないでしょうか
テバの家でしたら拙宅のすぐ隣ですサキも出かけているかもしれませんが
この村のどこかには いると思いますよ","Hoo hoo... You wish to know where
Teba is? A good question. All I know
is he has not been in the village lately.
He always aspired to be like our
Champion Revali...to become a
valued warrior for Rito Village. 
He also harbors the hope that his son,
Tulin, will share in his dream of becoming
a great warrior like Master Revali.
Ah, yes... Perhaps Teba's wife, Saki,
knows where he is. 

If you're curious, Teba's home is right
next door to my own humble abode."
41,Npc_HighMountain004_Talk12,私に答えられる事なら なんなりと,I am happy to answer anything I can.
42,Npc_HighMountain004_Talk13,何についてお話ししましょう？,What shall I speak of?
43,Npc_HighMountain004_Talk14,他に何かございますかな？,Was there anything else?
44,Npc_HighMountain004_Talk15,"炎をまといし龍ですか…実はこのところククジャ谷の付近で
頻繁に目撃されているのですが…
何やら普段とは様子が異なるらしく
村に危害が及ばぬか不安を抱えておりました
今""調査のために村の門番のナズリーを
見張りに行かせているところです","Hoo hoo! So you wish to hear
about the blazing dragon?Well, you're in luck. A dragon was
recently spotted near Tanagar Canyon.

It's acting a bit odd, so we're concerned
it may eventually cause trouble for
our village.
That is why I have asked the village
guard, Mazli, to keep a close eye
on the creature."
45,Npc_HighMountain004_Talk16,他に何かございますかな？,Was there anything else?
46,Npc_HighMountain004_Talk17,"ホッホゥ…""リーバル様の日記は
彼が愛した飛行訓練場で見つかったそうです
テバが持ち帰り
自宅に保管しているはずですよ","Hoo hoo... The historic Diary of Revali
was recently found at the Flight Range
our Champion so adored.
Teba took the diary to his home
for safekeeping."
47,Npc_HighMountain004_Talk19,"あ いえ…""何でもありません
失礼しました
ところで""私に何かご用でしたか？","Hoo? Ah... Never mind. My apologies.


Did you need something from me?"
48,Npc_HighMountain004_Talk20,"ホゥ…？""末裔様…
何かを聞きたそうな目をしていらっしゃる","Hoo? Champion descendant... You look
like you want to ask me something."
49,Npc_HighMountain004_Talk21,"あ いえ…""何でもありません
失礼しました
ところで""私に何かご用でしたか？","Hoo? Ah... Never mind. My apologies.


Did you need something from me?"
50,Npc_HighMountain011_Near00,見張りも楽じゃないぜ,Lookout duty is tough...
51,Npc_HighMountain011_Near01,そろそろ休むか,I should get some rest.
52,Npc_HighMountain011_Talk00,ん…アンタか,Oh... It's you.
53,Npc_HighMountain011_Talk01,"ん？""旅の人かい？",Hmm? A traveler?
54,Npc_HighMountain011_Talk02,こんなところで会うとはな,What a pleasant surprise.
55,Npc_HighMountain011_Talk03,"俺は族長からの指示で
この辺りに現れる龍を見張りに来たんだ","I came here because the elder tasked me
with keeping watch on the dragon that
appears around here."
56,Npc_HighMountain011_Talk04,"デカいな…""暴れないとは分かっていても
身体が小刻みに震えちまう…","It's so colossal... I know it won't
harm us, yet my body can't help
but shiver..."
57,Npc_HighMountain011_Talk05,"近ごろ頻繁に目撃されるようになってな
村まで来るんじゃないかと心配してるのさ
メドーの件があったからな
不安になるのも無理はないぜ
特に危険もなさそうなんで
そろそろ村に戻ろうかね","It's been appearing quite frequently
these days. Everyone's worried it's
going to cause trouble for the village.
After the incident with Medoh, I can't
blame them for worrying.

So far everything seems fine. I'll be
heading back to the village soon."
58,Npc_HighMountain011_Talk06,"そういや…角が光らなくなってるな
ありゃ いったい何だったんだ？","Come to think of it...the horns don't glow
anymore. I wonder what that means..."
59,Npc_HighMountain011_Talk07,おぅ,Don't let me keep you.
60,Npc_HighMountain011_Talk08,俺に何か用かい？,Do you need something?
61,Npc_HighMountain011_Talk10,"近ごろ頻繁に目撃されるようになってな
村まで来るんじゃないかと心配してるのさ
メドーの件があったからな
不安になるのも無理はないぜ
今のところ危険はなさそうだが
まぁ もうしばらく見張っているかね","It's been appearing quite frequently
these days. Everyone's worried it's
going to cause trouble for the village.
After the incident with Medoh, I can't
blame them for worrying.

So far everything seems fine. However...
Just to be safe, I'll be scoping things out
for a while yet."
62,Npc_HighMountain011_Talk11,"そういや…龍のヤツは夜中になると
決まって この谷を通るんだが…
そのとき角が光り出すんだ
何かを誘うかのような魅惑的な輝きなんだぜ…","Come to think of it...the dragon always
flies through this valley at night.

When it does, its horns light up.
There's something about that
light that's truly captivating."
63,Npc_HighMountain011_Talk12,"俺は族長からの指示で
あの龍を見張ってるんだ","The elder requested that I watch for
the dragon that appears around here."
