#,Title,JPja,USen
1,"""0000""",最初のページへ,First page.
2,"""0001""",最後のページへ,Last page.
3,"""0002""",今は読まない,Don't read.
4,"""0003""",次のページへ,Next page.
5,"""0004""",前のページへ,Previous page.
6,"""0005""",読むのを止める,Stop reading.
7,Diary_00,よろずお悩み帖,Journal of Various Worries
8,Diary_01,"『「コッコと私どっちが大切なの！」
という言葉を残し
妻が家をでていってしまいました

あの時私は何と答えれば
よかったのでしょうか…弓の名手より』","Well, my wife left me today. The last
thing she said to me was: \""What's more
important, the Cuccos or me?!\""
I chose the Cuccos.
\t\t\t- The Bow Master"
9,Diary_02,"『見慣れない絵描きの男が
この村にやってきました
大妖精の泉を探しているようですが
あそこは村の守り神様がいらっしゃる場所
村の高台の祠の裏手に祀られていることを
知られないようにしなければ…二児の父より』","A painter unfamiliar to any of us has
arrived in the village.

He claims he is searching for the Great
Fairy's Fountain, but that's near where
the village's spirit protector resides.
We must make sure the outsider doesn't
learn of the location of the fountain...or
the two shrines near it.
      \t         -Anonymous Father of Two"
10,Diary_03,"『勢いあまって家を出て来たものの
彼の弓を射る姿が忘れられない…
この際もう誰でもいい…弓を射る姿を
私に見せてくれないかいさ～匿名希望より』","That new guy in town looks like he
really knows how to tune a bow.

I hope he comes by and nocks an arrow
for me. It's been WAAAY too long.
\t\t         -Lonely Arrow Girl"
11,Diary_04,"『毎日毎日 お店の呼び込み…
それは別に悪くはないんだけど
いくら疲れても ホタルの光をみれば
明日も頑張ろうって思えたんだ…
でも最近は物騒だから
「夜は出歩いちゃダメ」って言われて
ホタル達を愛でる時間もなくなっちゃった…
このストレス どうしたら…看板娘より』","Day in, day out, I'm outside barking
people into the shop.

I don't mind, really. It's good money, and
busying myself helps to numb the pain.

But the only thing that really helps me
feel better is walking among the fireflies.

Unfortunately, we've now been asked to
not walk around at night because it's
dangerous.
I don't know how I can cope without the
fireflies...
\t\t-Struggling Shop Girl"
12,Diary_05,"『我が家に代々伝わる大切な宝珠
毎日お手入れしているので私にはわかります
この宝珠には きっと何か重要な使命があり
その時が来るのを待っているのだと…
そしてその日は そう遠くない…
なぜか最近 そう思うのです パパイアより』","There is a precious heirloom that has
been passed down through my family for
generations. 
Recently, I've begun to hear voices
telling me that the heirloom has an
important destiny.
It's going to happen soon. It makes me
nervous, but I can feel it in my bones.
\t\t\t\t-Papaya"
