#,Title,JPja,USen
1,Demo136_0_Text013,はっ……！,""""
2,Demo136_0_Text014,あっ……！,""""
3,Demo136_0_Text015,おっ……うぉ！,""""
4,Demo136_0_Text016,くっ……はっ！,""""
5,Demo136_0_Text017,きゃ……くぁっ！,""""
6,Demo136_0_Text018,くっ……うぁっ！,""""
7,Demo136_0_Text019,くっ……んっ！,""""
8,Demo136_0_Text020,あっ……うっ！,""""
9,Demo136_0_Text021,"""",""""
10,Demo136_0_Text022,あれは……,It's here.
11,Demo136_0_Text023,間違いない……,"This is it, then..."
12,Demo136_0_Text024,とうとう……,Are you sure?
13,Demo136_0_Text025,奴が……,Positive.
14,Demo136_0_Text033,"で どうだった姫さん？
神の山での修行はよ？",Well? Don't keep us in suspense.How'd everything go up there on the mountain?
15,Demo136_0_Text034,……,...
16,Demo136_0_Text035,"目覚めなかったんだ……
封印の力",So you didn't feel anything?No power at all?
17,Demo136_0_Text036,ごめんなさい……,"I'm sorry, no."
18,Demo136_0_Text037,御ひい様,Then let's move on.
19,Demo136_0_Text038,"頑張ったんだろ？

それで駄目なら仕方ないよ",You've done all you could.Feeling sorry for yourself won't be of any help.
20,Demo136_0_Text039,"それに この山での修行が全てって訳じゃないさ

案外何かのきっかけで封印の力は目覚めるかもしれない","After all, it's not like your last shot was up there
on Mt. Lanayru.Anything could finally spark the power to seal
Ganon away.We just have to keep looking for that...thing."
21,Demo136_0_Text040,……っ……,urh...
22,Demo136_0_Text041,"……ありがとう
ウルボザ",That's kind of you.Thank you.
23,Demo136_0_Text042,……姫様,If I may...
24,Demo136_0_Text043,？,?
25,Demo136_0_Text044,"あの……
上手く言えないんだけど……","I thought you...Well, I'm not sure how to put this into words..."
26,Demo136_0_Text045,"私 考えてみたの……

私が治癒の力を使う時何を思ってるんだろうって……

そしたら……
それは……","I'm actually quite embarrassed to say it.But I was thinking about what I do when I'm healing.You know, what usually goes through my mind...It helps when I think—when I think about—"
27,Demo136_0_Text046,はっ……？,""""
28,Demo136_0_Text047,目覚……めた……,It's awake...Ganon!
29,Demo136_0_Text048,……あ……あ……,Ah...ah... *gasp*
30,Demo136_0_Text049,"大丈夫だ姫さん！

奴は俺達だけで なんとかしてみせる！","Let's stop wasting time!We're gonna need everything we got to take
that thing down!"
31,Demo136_0_Text051,"ようし皆自分の神獣に乗り込んで厄災を撃つ準備だ！

俺達は リンクが ガノンと戦う時に一斉攻撃を かける！","Now Champions! To your Divine Beasts!Show that swirling swine who's boss!Link will need to meet Ganon head on when we
attack! This needs to be a unified assault!"
32,Demo136_0_Text052,"相棒！ 
おめえはハイラル城へ！",Little guy! You get to Hyrule Castle.
33,Demo136_0_Text053,……ちっ……,""""
34,Demo136_0_Text054,"しっかり援護してやるから
思いっきりガノンの野郎を ぶちのめせ！",You can count on us for support.But it's up to you to pound Ganon into oblivion!
35,Demo136_0_Text055,"さ御ひい様
あんたは安全な所へ……",Come. We should go.We need to get you someplace safe.
36,Demo136_0_Text059,いいえ！！,No!
37,Demo136_0_Text060,"私も行かせて下さい！ 
何も出来ないかもしれないけれど……
せめて……
せめて皆と一緒に！！","I am not a child anymore! I may not be
much use on the battlefield...But there must... There must be
something I can do to help!"
